Control,Source,Target,Seed,Site_ID,RMSE_kW,Skill
within_same_half,HKUST-A,HKUST-A,7,Zone J1,0.2889702044394207,0.07752450585967141
within_same_half,HKUST-A,HKUST-A,123,Indoor Sports Centre,0.4965062648738752,0.02232556212490866
within_same_half,HKUST-A,HKUST-A,123,LSK North,0.7591043460580966,0.08239064621138492
within_same_half,HKUST-A,HKUST-A,123,LSK South,0.28972488390849266,0.10796547327319217
within_same_half,HKUST-A,HKUST-A,123,S H Ho Sports Hall,0.4043465739010116,0.0666551544153362
within_same_half,HKUST-A,HKUST-A,123,SQ Apartment13-24,0.27309975171851525,0.048634675776586866
within_same_half,HKUST-A,HKUST-A,123,SQ Apartment37-48,0.16607043110414757,0.030187437315505883
within_same_half,HKUST-A,HKUST-A,123,SQ Block S,0.35414886646491645,0.06757432030638666
within_same_half,HKUST-A,HKUST-A,123,SQ1,0.3844426708655772,0.058441096246433566
within_same_half,HKUST-A,HKUST-A,123,SQ2,0.40529961739134496,0.06355476937073867
within_same_half,HKUST-A,HKUST-A,123,SQ4,0.41926055986333916,0.09123326518498776
within_same_half,HKUST-A,HKUST-A,123,Shaw Auditorium,1.0664272064381854,0.05740853012516833
within_same_half,HKUST-A,HKUST-A,123,UG Hall6,0.3391008446202005,0.05570362234772064
within_same_half,HKUST-A,HKUST-A,123,UG Hall7,0.2901115190979025,0.06605837735486386
within_same_half,HKUST-A,HKUST-A,123,Zone A5,0.21681066940340296,0.089125571444297
within_same_half,HKUST-A,HKUST-A,123,Zone A6,0.7524609668059472,0.06409835319980339
within_same_half,HKUST-A,HKUST-A,123,Zone D,1.015902867965146,0.06480188315639723
within_same_half,HKUST-A,HKUST-A,123,Zone J1,0.29300183651992096,0.06465438382454247
within_cross_half,HKUST-A,HKUST-B,42,Library,1.66710952955954,0.02956921835286952
within_cross_half,HKUST-A,HKUST-B,42,SQ Apartment1-12,0.2680809977342141,0.05843218438302
within_cross_half,HKUST-A,HKUST-B,42,SQ Apartment25-36,0.23438241145736677,0.036184283167020936
within_cross_half,HKUST-A,HKUST-B,42,SQ Block P,0.4553005343859304,0.039348086876970445
within_cross_half,HKUST-A,HKUST-B,42,SQ Block R,0.43888489375550127,0.022008281951328645
within_cross_half,HKUST-A,HKUST-B,42,SQ3,0.3939781997571986,0.014797968320038213
within_cross_half,HKUST-A,HKUST-B,42,SQ567,0.44582917730774985,0.10148317834638243
within_cross_half,HKUST-A,HKUST-B,42,UG Hall2 2F,0.18859166222573204,-0.08655315606928649
within_cross_half,HKUST-A,HKUST-B,42,UG Hall2 RF,0.08649693860931316,0.03129955191858391
within_cross_half,HKUST-A,HKUST-B,42,UG Hall3,0.29837342947741674,0.035921727113045754
within_cross_half,HKUST-A,HKUST-B,42,UG Hall4,0.37078018212596947,0.017902550050927557
within_cross_half,HKUST-A,HKUST-B,42,UG Hall8,0.3250339421533785,0.06693965165274829
within_cross_half,HKUST-A,HKUST-B,42,UG Hall9,0.31184742918156405,0.03742879909908592
within_cross_half,HKUST-A,HKUST-B,42,Wong Check She Research Centre,1.423210812237384,0.08234901835917874
within_cross_half,HKUST-A,HKUST-B,42,Zone A1,0.35006841527874527,0.058412759402887704
within_cross_half,HKUST-A,HKUST-B,42,Zone A2,3.0021043471184345,-0.0020987207304454802
within_cross_half,HKUST-A,HKUST-B,42,Zone A4,0.7146333118122844,-0.040394262579128926
within_cross_half,HKUST-A,HKUST-B,42,Zone A7,0.1198256506185599,0.02773350685759912
within_cross_half,HKUST-A,HKUST-B,42,Zone J2,0.41585385333332675,-0.010000565749455514
within_cross_half,HKUST-A,HKUST-B,42,Zone L2,0.11855797380844342,0.04330524947400116
within_cross_half,HKUST-A,HKUST-B,7,Library,1.6269185580592835,0.05296453533510537
within_cross_half,HKUST-A,HKUST-B,7,SQ Apartment1-12,0.26012663437137346,0.08636990693506408
within_cross_half,HKUST-A,HKUST-B,7,SQ Apartment25-36,0.2258031915855328,0.07146332522152021
within_cross_half,HKUST-A,HKUST-B,7,SQ Block P,0.4377482370625172,0.07638219233037746
within_cross_half,HKUST-A,HKUST-B,7,SQ Block R,0.43588396908545124,0.02869540997864195
within_cross_half,HKUST-A,HKUST-B,7,SQ3,0.37736045501846,0.05635315053223666
within_cross_half,HKUST-A,HKUST-B,7,SQ567,0.44144265509673924,0.11032370336305175
within_cross_half,HKUST-A,HKUST-B,7,UG Hall2 2F,0.1790342630490044,-0.0314890980047382
within_cross_half,HKUST-A,HKUST-B,7,UG Hall2 RF,0.08736126830943892,0.0216197114379435
within_cross_half,HKUST-A,HKUST-B,7,UG Hall3,0.29452454147456647,0.048357919252614456
within_cross_half,HKUST-A,HKUST-B,7,UG Hall4,0.3545225430873675,0.060964683928889096
within_cross_half,HKUST-A,HKUST-B,7,UG Hall8,0.3177504139389114,0.08784814917138828
within_cross_half,HKUST-A,HKUST-B,7,UG Hall9,0.3098307927000254,0.04365349751943137
within_cross_half,HKUST-A,HKUST-B,7,Wong Check She Research Centre,1.3945609853315204,0.10082171513603566
within_cross_half,HKUST-A,HKUST-B,7,Zone A1,0.3408999406529496,0.08307342099531834
within_cross_half,HKUST-A,HKUST-B,7,Zone A2,2.8464942215067772,0.049843746878257544
within_cross_half,HKUST-A,HKUST-B,7,Zone A4,0.6540227010859954,0.04784530113660801
within_cross_half,HKUST-A,HKUST-B,7,Zone A7,0.11371815555455587,0.07728978113702256
within_cross_half,HKUST-A,HKUST-B,7,Zone J2,0.40016713869019993,0.028098373426680867
within_cross_half,HKUST-A,HKUST-B,7,Zone L2,0.11255696784932413,0.09172992066685348
within_cross_half,HKUST-A,HKUST-B,123,Library,1.6677954061363893,0.02916996699548502
within_cross_half,HKUST-A,HKUST-B,123,SQ Apartment1-12,0.26508486200199133,0.06895536581148487
within_cross_half,HKUST-A,HKUST-B,123,SQ Apartment25-36,0.22609851037652753,0.07024892994984855
within_cross_half,HKUST-A,HKUST-B,123,SQ Block P,0.4460971881613978,0.05876649623520913
within_cross_half,HKUST-A,HKUST-B,123,SQ Block R,0.43410337818301975,0.03266320012268131
within_cross_half,HKUST-A,HKUST-B,123,SQ3,0.38749829996573176,0.031001937076609143
within_cross_half,HKUST-A,HKUST-B,123,SQ567,0.4451705395989485,0.1028105859967905
within_cross_half,HKUST-A,HKUST-B,123,UG Hall2 2F,0.17867319476836202,-0.02940883700455177
within_cross_half,HKUST-A,HKUST-B,123,UG Hall2 RF,0.08404195511223721,0.058793514732591645
within_cross_half,HKUST-A,HKUST-B,123,UG Hall3,0.2983611214224651,0.03596149582965402
within_cross_half,HKUST-A,HKUST-B,123,UG Hall4,0.37450190215855733,0.008044709935332794
within_cross_half,HKUST-A,HKUST-B,123,UG Hall8,0.32039368701767096,0.08026022378948938
within_cross_half,HKUST-A,HKUST-B,123,UG Hall9,0.30248129110983235,0.06633900943871163
within_cross_half,HKUST-A,HKUST-B,123,Wong Check She Research Centre,1.4477233452811065,0.06654394590142187
within_cross_half,HKUST-A,HKUST-B,123,Zone A1,0.3394531933949205,0.08696477108311274
within_cross_half,HKUST-A,HKUST-B,123,Zone A2,2.842110471009031,0.05130703737647413
within_cross_half,HKUST-A,HKUST-B,123,Zone A4,0.6622072271750924,0.03592991202127038
within_cross_half,HKUST-A,HKUST-B,123,Zone A7,0.11955045949190701,0.029966410332552318
within_cross_half,HKUST-A,HKUST-B,123,Zone J2,0.4050462295706022,0.01624833401968906
within_cross_half,HKUST-A,HKUST-B,123,Zone L2,0.11563396612896516,0.0669003119366437
within_cross_half,HKUST-B,HKUST-A,42,Indoor Sports Centre,0.4814717185801796,0.04058211022691793
within_cross_half,HKUST-B,HKUST-A,42,LSK North,0.7225965404756148,0.10228951765911842
within_cross_half,HKUST-B,HKUST-A,42,LSK South,0.30096524141972425,0.07448894506411696
within_cross_half,HKUST-B,HKUST-A,42,S H Ho Sports Hall,0.4607876601805057,0.011997847783104532
within_cross_half,HKUST-B,HKUST-A,42,SQ Apartment13-24,0.27956975973530807,0.0639882202599179
within_cross_half,HKUST-B,HKUST-A,42,SQ Apartment37-48,0.15787157101208052,0.07529517755521797
within_cross_half,HKUST-B,HKUST-A,42,SQ Block S,0.3329489773781668,0.07489233083110547
within_cross_half,HKUST-B,HKUST-A,42,SQ1,0.37849240641867915,0.03588611292537858
within_cross_half,HKUST-B,HKUST-A,42,SQ2,0.4117262080501324,0.08361799217616916
within_cross_half,HKUST-B,HKUST-A,42,SQ4,0.4030809033406587,0.06644813023533513
within_cross_half,HKUST-B,HKUST-A,42,Shaw Auditorium,0.8658507012479084,0.07059860063768308
within_cross_half,HKUST-B,HKUST-A,42,UG Hall6,0.3316352449483161,0.08442549504076602
within_cross_half,HKUST-B,HKUST-A,42,UG Hall7,0.28939800157327183,0.028067631022263617
within_cross_half,HKUST-B,HKUST-A,42,Zone A5,0.20676007051001574,0.0646068943396132
within_cross_half,HKUST-B,HKUST-A,42,Zone A6,0.7265107779881614,0.07031566240245524
within_cross_half,HKUST-B,HKUST-A,42,Zone D,0.9378074673755997,0.11062709525814496
within_cross_half,HKUST-B,HKUST-A,42,Zone J1,0.28090205075011254,0.07339957345392778
within_cross_half,HKUST-B,HKUST-A,7,Indoor Sports Centre,0.47534885705811036,0.052782998989812535
within_cross_half,HKUST-B,HKUST-A,7,LSK North,0.7183519001062822,0.10756280356609094
within_cross_half,HKUST-B,HKUST-A,7,LSK South,0.30679923510082086,0.056548582180979245
within_cross_half,HKUST-B,HKUST-A,7,S H Ho Sports Hall,0.4596865456396616,0.014358812778923036
within_cross_half,HKUST-B,HKUST-A,7,SQ Apartment13-24,0.2848269996813888,0.04638675104840295
within_cross_half,HKUST-B,HKUST-A,7,SQ Apartment37-48,0.16258721896548056,0.04767410318757759
within_cross_half,HKUST-B,HKUST-A,7,SQ Block S,0.33138593843495506,0.07923527648290274
within_cross_half,HKUST-B,HKUST-A,7,SQ1,0.37145521896158445,0.05381157203175568
within_cross_half,HKUST-B,HKUST-A,7,SQ2,0.4126894217619564,0.081474160430833
within_cross_half,HKUST-B,HKUST-A,7,SQ4,0.40861544642456143,0.05362990193067185
within_cross_half,HKUST-B,HKUST-A,7,Shaw Auditorium,0.8590434149314341,0.07790552020161345
within_cross_half,HKUST-B,HKUST-A,7,UG Hall6,0.335366867832493,0.07412327648312378
within_cross_half,HKUST-B,HKUST-A,7,UG Hall7,0.3072038025140067,-0.03173248575737064
within_cross_half,HKUST-B,HKUST-A,7,Zone A5,0.2087000717481517,0.055830229780306606
within_cross_half,HKUST-B,HKUST-A,7,Zone A6,0.7455479174656491,0.04595466055484243
within_cross_half,HKUST-B,HKUST-A,7,Zone D,0.9585105232665425,0.09099328171399845
within_cross_half,HKUST-B,HKUST-A,7,Zone J1,0.27870865199880057,0.08063485070848686
within_cross_half,HKUST-B,HKUST-A,123,Indoor Sports Centre,0.477399440541019,0.04869684729687962
within_cross_half,HKUST-B,HKUST-A,123,LSK North,0.7378016982534746,0.08339954412859563
within_cross_half,HKUST-B,HKUST-A,123,LSK South,0.3005033512573374,0.07590932320957522
within_cross_half,HKUST-B,HKUST-A,123,S H Ho Sports Hall,0.4614761124399175,0.010521696460538799
within_cross_half,HKUST-B,HKUST-A,123,SQ Apartment13-24,0.2811487260445018,0.05870177201666971
within_cross_half,HKUST-B,HKUST-A,123,SQ Apartment37-48,0.15699569769101837,0.08042545071741336
within_cross_half,HKUST-B,HKUST-A,123,SQ Block S,0.33539744339181476,0.06808920230143778
within_cross_half,HKUST-B,HKUST-A,123,SQ1,0.3825719986700538,0.02549438121174008
within_cross_half,HKUST-B,HKUST-A,123,SQ2,0.40775568124827205,0.09245522248035243
within_cross_half,HKUST-B,HKUST-A,123,SQ4,0.4140606162813177,0.04101866567802093
within_cross_half,HKUST-B,HKUST-A,123,Shaw Auditorium,0.8827312983691831,0.05247902117210945
within_cross_half,HKUST-B,HKUST-A,123,UG Hall6,0.3335540406953434,0.07912810734460551
within_cross_half,HKUST-B,HKUST-A,123,UG Hall7,0.2868478010042499,0.0366323842926497
within_cross_half,HKUST-B,HKUST-A,123,Zone A5,0.2096976793058478,0.05131700230209091
within_cross_half,HKUST-B,HKUST-A,123,Zone A6,0.7294411739770503,0.0665657617315073
within_cross_half,HKUST-B,HKUST-A,123,Zone D,0.9366362341982982,0.11173783822966521
within_cross_half,HKUST-B,HKUST-A,123,Zone J1,0.2813128972655609,0.07204433038808744
within_same_half,Ausgrid-A,Ausgrid-A,42,1,0.5433553550304387,0.12031798617982592
within_same_half,Ausgrid-A,Ausgrid-A,42,103,0.3309566238580037,0.05691345449629448
within_same_half,Ausgrid-A,Ausgrid-A,42,104,0.8933452050459817,-0.013513793272222685
within_same_half,Ausgrid-A,Ausgrid-A,42,106,0.5551916602636644,0.0704174653107631
within_same_half,Ausgrid-A,Ausgrid-A,42,108,0.37298546364993,0.12925820875570315
within_same_half,Ausgrid-A,Ausgrid-A,42,110,0.38194542511410784,0.13222124503061905
within_same_half,Ausgrid-A,Ausgrid-A,42,111,0.4603111861496474,-0.034923127327179726
within_same_half,Ausgrid-A,Ausgrid-A,42,114,0.7433849966722338,0.07144710154227796
within_same_half,Ausgrid-A,Ausgrid-A,42,115,0.21534098593011888,0.08797375011283193
within_same_half,Ausgrid-A,Ausgrid-A,42,121,0.6686026139893356,0.045155461931101315
within_same_half,Ausgrid-A,Ausgrid-A,42,124,0.6308720732470158,0.10816008952314693
within_same_half,Ausgrid-A,Ausgrid-A,42,127,0.35176287338322454,0.11236563515986497
within_same_half,Ausgrid-A,Ausgrid-A,42,129,0.44399593791605163,0.05624449395227582
within_same_half,Ausgrid-A,Ausgrid-A,42,130,0.38712472748107224,0.03600916453382352
within_same_half,Ausgrid-A,Ausgrid-A,42,131,0.4086856623174396,0.0421746356477235
within_same_half,Ausgrid-A,Ausgrid-A,42,132,0.17281531990815285,0.03505258695472713
within_same_half,Ausgrid-A,Ausgrid-A,42,134,0.6194733166539682,0.07287041521674831
within_same_half,Ausgrid-A,Ausgrid-A,42,136,0.1844488601103957,0.04275036453657366
within_same_half,Ausgrid-A,Ausgrid-A,42,137,0.40751154367818754,0.12488747951284396
within_same_half,Ausgrid-A,Ausgrid-A,42,138,0.3779689541788053,-0.067977088559519
within_same_half,Ausgrid-A,Ausgrid-A,42,139,0.4711535606216628,0.12001075210498602
within_same_half,Ausgrid-A,Ausgrid-A,42,14,0.5035079792245784,0.13596162761564934
within_same_half,Ausgrid-A,Ausgrid-A,42,140,0.2476729138176938,0.12048251552747047
within_same_half,Ausgrid-A,Ausgrid-A,42,141,0.5650692337127382,-0.028981199504283017
within_same_half,Ausgrid-A,Ausgrid-A,42,144,0.27808087002057286,0.10435977121924844
within_same_half,Ausgrid-A,Ausgrid-A,42,146,0.2396261218277326,0.10239929156672689
within_same_half,Ausgrid-A,Ausgrid-A,42,148,0.5036632822042844,0.10746059261868024
within_same_half,Ausgrid-A,Ausgrid-A,42,153,0.25702254646492617,0.14016950805618067
within_same_half,Ausgrid-A,Ausgrid-A,42,154,0.34141951740018306,0.08602371678409759
within_same_half,Ausgrid-A,Ausgrid-A,42,156,0.7215956803273232,0.10126682214036076
within_same_half,Ausgrid-A,Ausgrid-A,42,157,0.4808235482053285,0.056633982000903305
within_same_half,Ausgrid-A,Ausgrid-A,42,158,0.4477517488662655,0.03828746806065053
within_same_half,Ausgrid-A,Ausgrid-A,42,160,0.5131675359172307,0.047463312854673756
within_same_half,Ausgrid-A,Ausgrid-A,42,162,0.3362767039585073,0.10306886232860735
within_same_half,Ausgrid-A,Ausgrid-A,42,163,0.22188815680763024,0.12487199187615439
within_same_half,Ausgrid-A,Ausgrid-A,42,164,0.2816024114657626,0.030459436917590565
within_same_half,Ausgrid-A,Ausgrid-A,42,166,0.5552629249267378,0.05755460220035291
within_same_half,Ausgrid-A,Ausgrid-A,42,167,0.43326033951199777,0.1377386878203547
within_same_half,Ausgrid-A,Ausgrid-A,42,173,0.31722341723118946,0.09482390523141404
within_same_half,Ausgrid-A,Ausgrid-A,42,174,0.23290040230268236,0.11792915801352721
within_same_half,Ausgrid-A,Ausgrid-A,42,175,0.8719581944818305,0.10728694981710896
within_same_half,Ausgrid-A,Ausgrid-A,42,180,0.2775990392505907,0.047305959946143616
within_same_half,Ausgrid-A,Ausgrid-A,42,181,0.3969240484663939,0.061472680410796676
within_same_half,Ausgrid-A,Ausgrid-A,42,182,0.19128228562085106,0.08392254491909201
within_same_half,Ausgrid-A,Ausgrid-A,42,183,0.2500487466813274,0.08047679557294163
within_same_half,Ausgrid-A,Ausgrid-A,42,184,0.35349174339989115,0.14336928811667338
within_same_half,Ausgrid-A,Ausgrid-A,42,187,0.3494026405351785,0.138342705778024
within_same_half,Ausgrid-A,Ausgrid-A,42,188,0.7055009227323931,0.1583620406494488
within_same_half,Ausgrid-A,Ausgrid-A,42,189,0.7074187918819276,0.1549528912683693
within_same_half,Ausgrid-A,Ausgrid-A,42,191,0.7722771191077537,0.1249105028148848
within_same_half,Ausgrid-A,Ausgrid-A,42,192,0.3901892620039878,0.009834969114157488
within_same_half,Ausgrid-A,Ausgrid-A,42,195,0.34928127009978743,0.11449211641457246
within_same_half,Ausgrid-A,Ausgrid-A,42,196,0.2994465814705191,0.1375398283309489
within_same_half,Ausgrid-A,Ausgrid-A,42,198,0.9176908474535042,0.1129600514318364
within_same_half,Ausgrid-A,Ausgrid-A,42,2,0.3969470111952461,0.05192853519131346
within_same_half,Ausgrid-A,Ausgrid-A,42,203,0.47400794414382974,0.07440782446891847
within_same_half,Ausgrid-A,Ausgrid-A,42,204,0.32768958163129447,0.06355728042252584
within_same_half,Ausgrid-A,Ausgrid-A,42,205,0.40738384580577286,0.06852921547079582
within_same_half,Ausgrid-A,Ausgrid-A,42,206,0.38678564083033495,0.08029048348196066
within_same_half,Ausgrid-A,Ausgrid-A,42,208,0.36165972402271707,0.10074036216725824
within_same_half,Ausgrid-A,Ausgrid-A,42,209,0.4251962972829491,0.1410670107561628
within_same_half,Ausgrid-A,Ausgrid-A,42,21,0.5444308657784064,0.0818120619267585
within_same_half,Ausgrid-A,Ausgrid-A,42,210,0.5601651937523955,0.07688884707640575
within_same_half,Ausgrid-A,Ausgrid-A,42,212,0.737773971981921,0.10370340895923769
within_same_half,Ausgrid-A,Ausgrid-A,42,214,0.3657894322879434,0.06516710587721952
within_same_half,Ausgrid-A,Ausgrid-A,42,216,0.26518782799703944,0.11237032943322467
within_same_half,Ausgrid-A,Ausgrid-A,42,218,0.4119582384693017,0.061094199129485216
within_same_half,Ausgrid-A,Ausgrid-A,42,219,0.27307244504688033,0.06950779974423205
within_same_half,Ausgrid-A,Ausgrid-A,42,223,0.47854901238814956,0.05929635531077959
within_same_half,Ausgrid-A,Ausgrid-A,42,225,0.31195141596534354,0.09668920763677924
within_same_half,Ausgrid-A,Ausgrid-A,42,226,0.5170333015595926,0.132469229088087
within_same_half,Ausgrid-A,Ausgrid-A,42,229,0.4789957014401945,-0.03184484681175492
within_same_half,Ausgrid-A,Ausgrid-A,42,231,0.7614438868940571,0.14615083042732457
within_same_half,Ausgrid-A,Ausgrid-A,42,232,0.48770317574051036,0.01665641375179805
within_same_half,Ausgrid-A,Ausgrid-A,42,233,0.20957501237550313,0.107900295726165
within_same_half,Ausgrid-A,Ausgrid-A,42,234,0.32836759404134436,-0.03277702085828893
within_same_half,Ausgrid-A,Ausgrid-A,42,235,0.362023995882995,0.13070745450688914
within_same_half,Ausgrid-A,Ausgrid-A,42,236,0.4420624294751686,0.07560205653353258
within_same_half,Ausgrid-A,Ausgrid-A,42,239,0.23707497449845033,0.07841884436149238
within_same_half,Ausgrid-A,Ausgrid-A,42,242,0.6602665047738393,0.04211791134209408
within_same_half,Ausgrid-A,Ausgrid-A,42,243,0.32177118607755384,0.00832457298388345
within_same_half,Ausgrid-A,Ausgrid-A,42,244,0.2879162377357217,0.0815355440207014
within_same_half,Ausgrid-A,Ausgrid-A,42,245,0.20699584323792478,0.032038721237582446
within_same_half,Ausgrid-A,Ausgrid-A,42,247,0.243633588912535,0.033018352419075025
within_same_half,Ausgrid-A,Ausgrid-A,42,249,0.4039508999665498,0.06603937209938404
within_same_half,Ausgrid-A,Ausgrid-A,42,25,0.5972995655076621,0.04035590920052501
within_same_half,Ausgrid-A,Ausgrid-A,42,250,0.2701737360943234,-0.020913983579621043
within_same_half,Ausgrid-A,Ausgrid-A,42,252,0.25721718904390334,0.17295499810759962
within_same_half,Ausgrid-A,Ausgrid-A,42,255,0.591303185638865,0.07733578354655513
within_same_half,Ausgrid-A,Ausgrid-A,42,260,0.6545436602707199,0.04212854113003761
within_same_half,Ausgrid-A,Ausgrid-A,42,262,0.33502999244403,0.02431649112717915
within_same_half,Ausgrid-A,Ausgrid-A,42,263,0.29411820696897656,0.06439630994479473
within_same_half,Ausgrid-A,Ausgrid-A,42,266,0.5027179574118014,0.16099757784386248
within_same_half,Ausgrid-A,Ausgrid-A,42,267,0.8675365691465351,0.09076894707951888
within_same_half,Ausgrid-A,Ausgrid-A,42,27,0.47610836921502925,0.07581155207551682
within_same_half,Ausgrid-A,Ausgrid-A,42,272,0.41617900392199003,0.11162831895922665
within_same_half,Ausgrid-A,Ausgrid-A,42,274,0.39019241880138256,0.06483966146589937
within_same_half,Ausgrid-A,Ausgrid-A,42,275,0.49103146407656484,0.011218498650894082
within_same_half,Ausgrid-A,Ausgrid-A,42,276,0.5673191319133417,0.06197917664318342
within_same_half,Ausgrid-A,Ausgrid-A,42,277,0.30265556309227043,-0.06013740181821747
within_same_half,Ausgrid-A,Ausgrid-A,42,279,0.5276145747668697,0.08424129743356668
within_same_half,Ausgrid-A,Ausgrid-A,42,28,0.34419100341223896,0.06027225593632979
within_same_half,Ausgrid-A,Ausgrid-A,42,283,0.23574175238564765,0.05445756221971465
within_same_half,Ausgrid-A,Ausgrid-A,42,284,0.3276016698088894,0.10696258696088101
within_same_half,Ausgrid-A,Ausgrid-A,42,285,0.46271814092200636,0.0039146425436447085
within_same_half,Ausgrid-A,Ausgrid-A,42,287,0.43815303656398513,0.11467204679610676
within_same_half,Ausgrid-A,Ausgrid-A,42,288,0.457372053410633,0.12661734380516299
within_same_half,Ausgrid-A,Ausgrid-A,42,289,0.6185644594874415,0.05652005267674465
within_same_half,Ausgrid-A,Ausgrid-A,42,290,0.5126227994521273,0.06980278301592546
within_same_half,Ausgrid-A,Ausgrid-A,42,293,0.8822762284500286,0.0942543001685463
within_same_half,Ausgrid-A,Ausgrid-A,42,294,0.5908451594264189,0.04029514642838372
within_same_half,Ausgrid-A,Ausgrid-A,42,296,0.24746631946768172,0.07856224586534422
within_same_half,Ausgrid-A,Ausgrid-A,42,297,0.3099980007985752,0.03703972811635636
within_same_half,Ausgrid-A,Ausgrid-A,42,299,0.6547669287967735,0.018201859421941302
within_same_half,Ausgrid-A,Ausgrid-A,42,30,0.25389045843981795,0.1250921711507199
within_same_half,Ausgrid-A,Ausgrid-A,42,32,0.3959104378720039,0.11869987240920932
within_same_half,Ausgrid-A,Ausgrid-A,42,33,0.5849381057203948,0.047732079481138
within_same_half,Ausgrid-A,Ausgrid-A,42,35,0.5646577504445092,0.06453009077599348
within_same_half,Ausgrid-A,Ausgrid-A,42,38,0.44066892285381315,0.09045243024213512
within_same_half,Ausgrid-A,Ausgrid-A,42,39,0.3805192250871816,0.09971648771286534
within_same_half,Ausgrid-A,Ausgrid-A,42,43,0.32586604009849895,0.04997862347758031
within_same_half,Ausgrid-A,Ausgrid-A,42,47,0.377452871899457,0.06122962584459046
within_same_half,Ausgrid-A,Ausgrid-A,42,48,0.5064248808571915,0.11148880525054505
within_same_half,Ausgrid-A,Ausgrid-A,42,50,0.43482337809602833,0.16116114862868025
within_same_half,Ausgrid-A,Ausgrid-A,42,53,0.3638262432616553,0.08572833502250954
within_same_half,Ausgrid-A,Ausgrid-A,42,54,0.3763006959232446,0.0392705187874417
within_same_half,Ausgrid-A,Ausgrid-A,42,55,0.4163067283236692,0.08032176667683977
within_same_half,Ausgrid-A,Ausgrid-A,42,56,0.5290142860410506,0.1134451271993957
within_same_half,Ausgrid-A,Ausgrid-A,42,59,0.36355551823606785,0.10161847101513544
within_same_half,Ausgrid-A,Ausgrid-A,42,61,0.377079348209848,0.0924277805711139
within_same_half,Ausgrid-A,Ausgrid-A,42,62,0.6762114958995241,0.003830108253573661
within_same_half,Ausgrid-A,Ausgrid-A,42,67,0.34293840057155717,0.09409701339460586
within_same_half,Ausgrid-A,Ausgrid-A,42,68,0.4000863479870601,0.017970655255978518
within_same_half,Ausgrid-A,Ausgrid-A,42,69,0.3589204161014285,0.07544999749078152
