Dataset,Horizon_min,Horizon_steps,Model,Seed,Site_ID,N_test,N_rare,RMSE_kW,MAE_kW,nRMSE,RareRMSE_kW,RMSE_persist_kW,SkillScore
DKASC,180,12,LSTM,123,ID_DKASC_1,2000,175,3.14323290471125,1.69703186583405,0.110319894249221,5.10402622597405,5.8834166238274,0.465747013056769
DKASC,180,12,Transformer,42,ID_DKASC_1,2000,175,3.34428577688495,1.89563514851583,0.117376365172345,5.61045419624805,5.8834166238274,0.431574204121319
DKASC,180,12,Transformer,7,ID_DKASC_1,2000,175,3.27572566696784,1.76342555196946,0.114970070664409,5.43010742261088,5.8834166238274,0.443227315621098
DKASC,180,12,Transformer,123,ID_DKASC_1,2000,175,3.10242824079649,1.69960265027414,0.108887748956645,5.1272593261144,5.8834166238274,0.472682551796198
HKUST,15,1,Persistence,0,ID_Indoor Sports Centre,2000,130,0.516986030133785,0.223621003161576,0.0602969477646122,1.17808519518761,0.516986030133785,0
HKUST,15,1,Persistence,0,ID_LSK North,2000,120,0.872108543847056,0.360938997813249,0.0651419625866548,1.61881268383377,0.872108543847056,0
HKUST,15,1,Persistence,0,ID_LSK South,2000,98,0.339053528433425,0.123630001434435,0.0579159903921481,0.984881571798273,0.339053528433425,0
HKUST,15,1,Persistence,0,ID_Library,2000,129,2.04746554369627,0.746455997004899,0.0613882628971872,4.45739549158593,2.04746554369627,0
HKUST,15,1,Persistence,0,ID_S H Ho Sports Hall,2000,95,0.445538015184811,0.162035000850377,0.046892420303876,1.06293957920972,0.445538015184811,0
HKUST,15,1,Persistence,0,ID_SQ Apartment1-12,2000,109,0.263189724833008,0.112810498776783,0.0603369382927574,0.579877703037264,0.263189724833008,0
HKUST,15,1,Persistence,0,ID_SQ Apartment13-24,2000,128,0.284932322586201,0.1198269995589,0.0655921552914828,0.621428557076048,0.284932322586201,0
HKUST,15,1,Persistence,0,ID_SQ Apartment25-36,2000,131,0.267704428595672,0.114278999577798,0.0615978896906747,0.623078505494708,0.267704428595672,0
HKUST,15,1,Persistence,0,ID_SQ Apartment37-48,2000,132,0.159872637768451,0.0648375003623628,0.0523978453125403,0.360351835518396,0.159872637768451,0
HKUST,15,1,Persistence,0,ID_SQ Block P,2000,115,0.453979841213434,0.184536500540555,0.0594096254689425,1.13502048520401,0.453979841213434,0
HKUST,15,1,Persistence,0,ID_SQ Block R,2000,104,0.477859518421014,0.197847001298561,0.060393598724665,1.29143581148079,0.477859518421014,0
HKUST,15,1,Persistence,0,ID_SQ Block S,2000,137,0.388067061141879,0.165798001415926,0.0568083694631482,0.880174887277042,0.388067061141879,0
HKUST,15,1,Persistence,0,ID_SQ1,2000,128,0.435227673442207,0.180379999476738,0.0631588555278199,1.071602908834,0.435227673442207,0
HKUST,15,1,Persistence,0,ID_SQ2,2000,109,0.410934268994639,0.167812500852136,0.0599379038790314,0.985253743353631,0.410934268994639,0
HKUST,15,1,Persistence,0,ID_SQ3,2000,117,0.411795491353182,0.18478199950673,0.0571664259977069,0.765242658314689,0.411795491353182,0
HKUST,15,1,Persistence,0,ID_SQ4,2000,110,0.485108099209767,0.203954000376573,0.0649495379849735,1.12547369258455,0.485108099209767,0
HKUST,15,1,Persistence,0,ID_SQ567,2000,115,0.562355583717461,0.244477998743782,0.0571203526340475,1.31493752496992,0.562355583717461,0
HKUST,15,1,Persistence,0,ID_Shaw Auditorium,2000,121,1.05592628328588,0.453951005478544,0.0639342716636898,1.66990734999049,1.05592628328588,0
HKUST,15,1,Persistence,0,ID_UG Hall2 2F,2000,121,0.164282466019308,0.065063500108516,0.0403959535850152,0.367714457091766,0.164282466019308,0
HKUST,15,1,Persistence,0,ID_UG Hall2 RF,2000,146,0.0952818751036779,0.0398869993627437,0.045720669435546,0.187466940238328,0.0952818751036779,0
HKUST,15,1,Persistence,0,ID_UG Hall3,2000,123,0.370197469192281,0.150673501260651,0.067025235878532,0.714698575899935,0.370197469192281,0
HKUST,15,1,Persistence,0,ID_UG Hall4,2000,103,0.356855022523767,0.156388000083297,0.0556858141700366,0.817269918577563,0.356855022523767,0
HKUST,15,1,Persistence,0,ID_UG Hall6,2000,101,0.379267083474922,0.154726999736856,0.0619515000775763,0.887797865500031,0.379267083474922,0
HKUST,15,1,Persistence,0,ID_UG Hall7,2000,122,0.325702560842909,0.130835999525162,0.0525164926358024,0.816318069485148,0.325702560842909,0
HKUST,15,1,Persistence,0,ID_UG Hall8,2000,124,0.30206893914317,0.133279999965949,0.0573899132970143,0.61029747934956,0.30206893914317,0
HKUST,15,1,Persistence,0,ID_UG Hall9,2000,110,0.367788106133997,0.149593999503674,0.0644450860581736,0.932154082221805,0.367788106133997,0
HKUST,15,1,Persistence,0,ID_Wong Check She Research Centre,2000,121,1.40718708938737,0.618659007524588,0.0589626792979206,2.67117928201348,1.40718708938737,0
HKUST,15,1,Persistence,0,ID_Zone A1,2000,132,0.384689125523812,0.160504498742894,0.0514599171860933,0.786640245839327,0.384689125523812,0
HKUST,15,1,Persistence,0,ID_Zone A2,2000,123,2.63950471260002,1.17857001092227,0.0575887581490297,5.30611515241728,2.63950471260002,0
HKUST,15,1,Persistence,0,ID_Zone A4,2000,114,0.664728144556819,0.287603003634193,0.0524771567503607,1.60024982959915,0.664728144556819,0
HKUST,15,1,Persistence,0,ID_Zone A5,2000,117,0.216976788533009,0.0958739994434945,0.0536674066799595,0.332406145374423,0.216976788533009,0
HKUST,15,1,Persistence,0,ID_Zone A6,2000,105,0.782194377786863,0.335191498663546,0.0616532180804652,1.49987148757127,0.782194377786863,0
HKUST,15,1,Persistence,0,ID_Zone A7,2000,106,0.137023089478432,0.0581580004065763,0.051648356380864,0.270258701763262,0.137023089478432,0
HKUST,15,1,Persistence,0,ID_Zone D,2000,120,1.14909998921857,0.479831998605161,0.0630871869333906,2.59522390358536,1.14909998921857,0
HKUST,15,1,Persistence,0,ID_Zone J1,2000,122,0.314042248853991,0.138349000501272,0.0589891389784963,0.566234516087229,0.314042248853991,0
HKUST,15,1,Persistence,0,ID_Zone J2,2000,133,0.428232073977153,0.191841999399386,0.0388166146576724,0.941221843756702,0.428232073977153,0
HKUST,15,1,Persistence,0,ID_Zone L2,2000,121,0.130923633427577,0.0558390001328241,0.0660563236264261,0.215938541567871,0.130923633427577,0
HKUST,15,1,MLP,42,ID_Indoor Sports Centre,2000,130,0.501903466850372,0.226114079121992,0.0585378431129428,1.16375070303528,0.516986030133785,0.0291740248368229
HKUST,15,1,MLP,42,ID_LSK North,2000,120,0.793050901669097,0.349996677495564,0.0592367687833374,1.43178376045692,0.872108543847056,0.0906511497172355
HKUST,15,1,MLP,42,ID_LSK South,2000,98,0.320820114734472,0.129524061325664,0.0548014196118828,0.924517518946482,0.339053528433425,0.0537773896151402
HKUST,15,1,MLP,42,ID_Library,2000,129,1.92093161697157,0.805191934596396,0.0575944515761103,4.26644837649802,2.04746554369627,0.0618002716159398
HKUST,15,1,MLP,42,ID_S H Ho Sports Hall,2000,95,0.437191157303075,0.195176174519718,0.0460139220508263,1.11011457880848,0.445538015184811,0.0187343337656016
HKUST,15,1,MLP,42,ID_SQ Apartment1-12,2000,109,0.245881751298213,0.113460966437833,0.0563690397290723,0.540329612519317,0.263189724833008,0.0657623451894883
HKUST,15,1,MLP,42,ID_SQ Apartment13-24,2000,128,0.260682374177013,0.119818178566921,0.0600097546448005,0.540789091116361,0.284932322586201,0.0851077483561086
HKUST,15,1,MLP,42,ID_SQ Apartment25-36,2000,131,0.245366018475159,0.112131213206743,0.0564578965658441,0.573810771228995,0.267704428595672,0.0834443054890676
HKUST,15,1,MLP,42,ID_SQ Apartment37-48,2000,132,0.151623420605626,0.068743275633879,0.0496941856314302,0.359675377279559,0.159872637768451,0.0515986805370233
HKUST,15,1,MLP,42,ID_SQ Block P,2000,115,0.419765263831626,0.189167741991317,0.0549321684470663,1.02382862191394,0.453979841213434,0.0753658516870618
HKUST,15,1,MLP,42,ID_SQ Block R,2000,104,0.441050185189559,0.200244887845652,0.0557415032555854,1.14234122852169,0.477859518421014,0.0770296118681144
HKUST,15,1,MLP,42,ID_SQ Block S,2000,137,0.370665055720369,0.174225436831021,0.0542609243115912,0.871151552097942,0.388067061141879,0.0448427789009063
HKUST,15,1,MLP,42,ID_SQ1,2000,128,0.403528401511732,0.179691726172389,0.0585587580194067,1.02587419387855,0.435227673442207,0.0728337692310942
HKUST,15,1,MLP,42,ID_SQ2,2000,109,0.388157104570552,0.173579234331364,0.056615680363266,0.939424989916207,0.410934268994639,0.055427756073525
HKUST,15,1,MLP,42,ID_SQ3,2000,117,0.394635474414511,0.185915725804046,0.0547842317798432,0.716818307293363,0.411795491353182,0.0416712113148247
HKUST,15,1,MLP,42,ID_SQ4,2000,110,0.459035050996549,0.208860734672219,0.0614587027709933,1.08374723886188,0.485108099209767,0.0537468829229841
HKUST,15,1,MLP,42,ID_SQ567,2000,115,0.525587486322199,0.243510699013528,0.053385693017054,1.23858967705142,0.562355583717461,0.0653822927340855
HKUST,15,1,MLP,42,ID_Shaw Auditorium,2000,121,1.0065572353322,0.46044381287246,0.0609450723477807,1.65471204933878,1.05592628328588,0.0467542561778603
HKUST,15,1,MLP,42,ID_UG Hall2 2F,2000,121,0.165692060653356,0.0789084935158451,0.0407425634259218,0.382275883185356,0.164282466019308,-0.00858031090111933
HKUST,15,1,MLP,42,ID_UG Hall2 RF,2000,146,0.0926877683085558,0.0447973138461103,0.0444758965012264,0.185327593838672,0.0952818751036779,0.0272256060483638
HKUST,15,1,MLP,42,ID_UG Hall3,2000,123,0.340134195132892,0.15264217627474,0.0615822001940689,0.640270644419266,0.370197469192281,0.0812087508998466
HKUST,15,1,MLP,42,ID_UG Hall4,2000,103,0.329893902628242,0.152921141400112,0.0514786380969627,0.723498242621169,0.356855022523767,0.0755520258755197
HKUST,15,1,MLP,42,ID_UG Hall6,2000,101,0.354676784536173,0.152944384340913,0.0579347900255101,0.820622325228637,0.379267083474922,0.0648363646890944
HKUST,15,1,MLP,42,ID_UG Hall7,2000,122,0.309308632138357,0.140913749650816,0.049873124914479,0.775339389030506,0.325702560842909,0.05033404914633
HKUST,15,1,MLP,42,ID_UG Hall8,2000,124,0.290976460989305,0.136427186420902,0.0552824594114706,0.593199424449862,0.30206893914317,0.0367216774598847
HKUST,15,1,MLP,42,ID_UG Hall9,2000,110,0.341429731528032,0.149445779814522,0.0598264817816773,0.846487605782071,0.367788106133997,0.0716672838690482
HKUST,15,1,MLP,42,ID_Wong Check She Research Centre,2000,121,1.29558917800858,0.612008481507222,0.0542866046603896,2.37320655957945,1.40718708938737,0.0793056674698288
HKUST,15,1,MLP,42,ID_Zone A1,2000,132,0.363000510551591,0.171433423453477,0.048558628180765,0.684371809450599,0.384689125523812,0.0563795894741993
HKUST,15,1,MLP,42,ID_Zone A2,2000,123,2.48027585950285,1.17741076290705,0.0541147003579649,5.1361918022977,2.63950471260002,0.0603252770631819
HKUST,15,1,MLP,42,ID_Zone A4,2000,114,0.619784119482397,0.287133358896743,0.0489290376160415,1.45910000602881,0.664728144556819,0.0676126405094318
HKUST,15,1,MLP,42,ID_Zone A5,2000,117,0.202881927179811,0.0967621264107514,0.0501811597802149,0.303995361606981,0.216976788533009,0.0649602266145352
HKUST,15,1,MLP,42,ID_Zone A6,2000,105,0.726389596115234,0.329575523606148,0.0572546383002471,1.38307697407315,0.782194377786863,0.0713438798032813
HKUST,15,1,MLP,42,ID_Zone A7,2000,106,0.127600679016627,0.0611243603816439,0.0480967504774318,0.25633211177243,0.137023089478432,0.0687651292761764
HKUST,15,1,MLP,42,ID_Zone D,2000,120,1.08300760198749,0.480540633941459,0.0594586229900937,2.48464339702435,1.14909998921857,0.0575166546438027
HKUST,15,1,MLP,42,ID_Zone J1,2000,122,0.2978996536928,0.142373752936693,0.0559569425370557,0.530729741990285,0.314042248853991,0.0514026224818434
HKUST,15,1,MLP,42,ID_Zone J2,2000,133,0.439309364196013,0.222971029478952,0.0398207031695002,0.976578104293051,0.428232073977153,-0.0258674931001319
HKUST,15,1,MLP,42,ID_Zone L2,2000,121,0.123396741038243,0.0569415296952313,0.0622586988083973,0.185757177105475,0.130923633427577,0.057490708073702
HKUST,15,1,MLP,7,ID_Indoor Sports Centre,2000,130,0.486624297516596,0.215411271718339,0.0567558079678791,1.14082528961783,0.516986030133785,0.0587283424454086
HKUST,15,1,MLP,7,ID_LSK North,2000,120,0.802576534203523,0.344579702337813,0.0599482838837796,1.51231280878112,0.872108543847056,0.0797286187987706
HKUST,15,1,MLP,7,ID_LSK South,2000,98,0.314896673148937,0.12381892719262,0.0537895971201913,0.917038690549859,0.339053528433425,0.0712479100161639
HKUST,15,1,MLP,7,ID_Library,2000,129,1.90551051430844,0.779892913045777,0.0571320874072172,4.25211366721069,2.04746554369627,0.0693320724370114
HKUST,15,1,MLP,7,ID_S H Ho Sports Hall,2000,95,0.432290166970769,0.190378277655268,0.0454980978321625,1.06424647708225,0.445538015184811,0.0297344957389248
HKUST,15,1,MLP,7,ID_SQ Apartment1-12,2000,109,0.243680113768943,0.109033817228184,0.0558643085210781,0.552165942390834,0.263189724833008,0.0741275559919515
HKUST,15,1,MLP,7,ID_SQ Apartment13-24,2000,128,0.255508067449399,0.115242646726614,0.0588186158953497,0.537929810263076,0.284932322586201,0.103267522862031
HKUST,15,1,MLP,7,ID_SQ Apartment25-36,2000,131,0.24634684492028,0.108536454288595,0.0566835814358674,0.591383637671364,0.267704428595672,0.0797804645497663
HKUST,15,1,MLP,7,ID_SQ Apartment37-48,2000,132,0.149526287155928,0.0644367277017046,0.0490068555439881,0.36570238747891,0.159872637768451,0.064716206331115
HKUST,15,1,MLP,7,ID_SQ Block P,2000,115,0.420159141484418,0.184050015963342,0.0549837128587529,1.05748745470649,0.453979841213434,0.0744982412404424
HKUST,15,1,MLP,7,ID_SQ Block R,2000,104,0.440444081129395,0.19286444121846,0.0556649016520098,1.18327117222567,0.477859518421014,0.0782979847618196
HKUST,15,1,MLP,7,ID_SQ Block S,2000,137,0.36762445323755,0.166497905939178,0.0538158165286057,0.886965461877488,0.388067061141879,0.0526780290091539
HKUST,15,1,MLP,7,ID_SQ1,2000,128,0.410411002199838,0.175548989115656,0.0595575391379825,1.06202203558814,0.435227673442207,0.0570199754213586
HKUST,15,1,MLP,7,ID_SQ2,2000,109,0.381899522180032,0.166877381618582,0.0557029641452789,0.949225283113434,0.410934268994639,0.0706554527215301
HKUST,15,1,MLP,7,ID_SQ3,2000,117,0.386250205572722,0.177110548102983,0.0536201688875083,0.719321880824101,0.411795491353182,0.0620339132332827
HKUST,15,1,MLP,7,ID_SQ4,2000,110,0.454923143147541,0.199653237774375,0.0609081728675245,1.09028526188783,0.485108099209767,0.0622231542029449
HKUST,15,1,MLP,7,ID_SQ567,2000,115,0.523431751860743,0.232126915213025,0.0531667277996915,1.23132074990929,0.562355583717461,0.0692156937420472
HKUST,15,1,MLP,7,ID_Shaw Auditorium,2000,121,0.979730492489135,0.441838516280812,0.059320765526434,1.59401432874441,1.05592628328588,0.0721601422398918
HKUST,15,1,MLP,7,ID_UG Hall2 2F,2000,121,0.165422425824248,0.0774728703321869,0.040676262034754,0.383882708763296,0.164282466019308,-0.0069390229679529
HKUST,15,1,MLP,7,ID_UG Hall2 RF,2000,146,0.0923735586966269,0.0419684001195517,0.0443251241346578,0.192123473080789,0.0952818751036779,0.0305232910654456
HKUST,15,1,MLP,7,ID_UG Hall3,2000,123,0.334444602749716,0.145996861407505,0.0605520843686768,0.649081270214018,0.370197469192281,0.0965778251282294
HKUST,15,1,MLP,7,ID_UG Hall4,2000,103,0.331920540226369,0.149433986998186,0.0517948868746348,0.751363646847223,0.356855022523767,0.0698728635540977
HKUST,15,1,MLP,7,ID_UG Hall6,2000,101,0.345560377946813,0.144416041237439,0.0564456677469475,0.815388662035051,0.379267083474922,0.0888732689883911
HKUST,15,1,MLP,7,ID_UG Hall7,2000,122,0.314924976590031,0.134158956868933,0.0507787079448156,0.821442347463511,0.325702560842909,0.033090265624518
HKUST,15,1,MLP,7,ID_UG Hall8,2000,124,0.287261712637426,0.132292215631629,0.054576696394461,0.571165576043158,0.30206893914317,0.0490193614336691
HKUST,15,1,MLP,7,ID_UG Hall9,2000,110,0.349341558878129,0.148087308299048,0.0612128191480865,0.877611413879533,0.367788106133997,0.0501553664955846
HKUST,15,1,MLP,7,ID_Wong Check She Research Centre,2000,121,1.27914028660447,0.574166065318662,0.0535973781062369,2.4608443292691,1.40718708938737,0.0909948675258552
HKUST,15,1,MLP,7,ID_Zone A1,2000,132,0.362595685992819,0.162879737227878,0.0485044747439063,0.729365915077182,0.384689125523812,0.0574319315652865
HKUST,15,1,MLP,7,ID_Zone A2,2000,123,2.47992558811332,1.15224271759765,0.0541070581309055,5.39825427426613,2.63950471260002,0.0604579805161654
HKUST,15,1,MLP,7,ID_Zone A4,2000,114,0.622646788556394,0.279247365347192,0.0491550318588769,1.51644923735358,0.664728144556819,0.0633061144544748
HKUST,15,1,MLP,7,ID_Zone A5,2000,117,0.197157770015449,0.0904430967578658,0.048765337043982,0.313719475904544,0.216976788533009,0.0913416529554061
HKUST,15,1,MLP,7,ID_Zone A6,2000,105,0.719467970907768,0.315714343305131,0.0567090699856363,1.41491599938134,0.782194377786863,0.0801928633859171
HKUST,15,1,MLP,7,ID_Zone A7,2000,106,0.129098711729295,0.0576339218646945,0.0486614066073482,0.270904098302683,0.137023089478432,0.057832426485936
HKUST,15,1,MLP,7,ID_Zone D,2000,120,1.08188903456616,0.47212951770879,0.059397212083585,2.48355029139388,1.14909998921857,0.0584900837899393
HKUST,15,1,MLP,7,ID_Zone J1,2000,122,0.291659868127353,0.134790320487341,0.0547848722845359,0.534931190600316,0.314042248853991,0.0712718776162001
HKUST,15,1,MLP,7,ID_Zone J2,2000,133,0.43158018840958,0.208188771562578,0.0391201007243425,0.994278208026061,0.428232073977153,-0.00781845787806557
HKUST,15,1,MLP,7,ID_Zone L2,2000,121,0.123199647465448,0.0552685141609889,0.0621592570461394,0.195665625945378,0.130923633427577,0.0589961167431324
HKUST,15,1,MLP,123,ID_Indoor Sports Centre,2000,130,0.486885116901341,0.205129621437918,0.0567862277701587,1.10886886743783,0.516986030133785,0.0582238425758913
HKUST,15,1,MLP,123,ID_LSK North,2000,120,0.793004330273633,0.321821000169527,0.0592332901428375,1.44090973977212,0.872108543847056,0.0907045506336603
HKUST,15,1,MLP,123,ID_LSK South,2000,98,0.315210879900684,0.115632719096538,0.0538432688672437,0.902130075792816,0.339053528433425,0.0703211927712541
HKUST,15,1,MLP,123,ID_Library,2000,129,1.90638171199543,0.738958137574581,0.0571582081460051,4.17440935673962,2.04746554369627,0.0689065719006684
HKUST,15,1,MLP,123,ID_S H Ho Sports Hall,2000,95,0.426866312093058,0.172030343519224,0.0449272426549957,1.08928875210267,0.445538015184811,0.0419082153607216
HKUST,15,1,MLP,123,ID_SQ Apartment1-12,2000,109,0.237162046733017,0.101380510913922,0.0543700244688255,0.515207013375716,0.263189724833008,0.0988932152138741
HKUST,15,1,MLP,123,ID_SQ Apartment13-24,2000,128,0.257833169779958,0.109858327532201,0.0593538604465834,0.535940113254965,0.284932322586201,0.0951073313138929
HKUST,15,1,MLP,123,ID_SQ Apartment25-36,2000,131,0.243819547421213,0.103920701079385,0.0561020587715631,0.573429776311257,0.267704428595672,0.0892210909612319
HKUST,15,1,MLP,123,ID_SQ Apartment37-48,2000,132,0.147899758364551,0.0617900784199894,0.0484737649213736,0.353316480122085,0.159872637768451,0.0748901098463219
HKUST,15,1,MLP,123,ID_SQ Block P,2000,115,0.41927554704836,0.176632304844569,0.0548680821418199,1.03435008956985,0.453979841213434,0.0764445709137954
HKUST,15,1,MLP,123,ID_SQ Block R,2000,104,0.429635858031082,0.182600589651307,0.0542989196770498,1.09430571739816,0.477859518421014,0.100915977459812
HKUST,15,1,MLP,123,ID_SQ Block S,2000,137,0.36783516493115,0.162036742361831,0.0538466621966328,0.879162802122382,0.388067061141879,0.0521350514810434
HKUST,15,1,MLP,123,ID_SQ1,2000,128,0.404060878808974,0.165452309513214,0.0586360294309932,1.04900699969768,0.435227673442207,0.0716103238260003
HKUST,15,1,MLP,123,ID_SQ2,2000,109,0.378339765179947,0.156614502490343,0.0551837463798056,0.937708977747343,0.410934268994639,0.0793180473715055
HKUST,15,1,MLP,123,ID_SQ3,2000,117,0.388023512441169,0.170174376817947,0.0538663435494338,0.718799981390053,0.411795491353182,0.0577276327963104
HKUST,15,1,MLP,123,ID_SQ4,2000,110,0.445668724790231,0.190454520724479,0.0596691290387241,1.03966398564739,0.485108099209767,0.0813001771848022
HKUST,15,1,MLP,123,ID_SQ567,2000,115,0.510876047266926,0.220314379292255,0.0518914025522265,1.20652304567614,0.562355583717461,0.0915426785846581
HKUST,15,1,MLP,123,ID_Shaw Auditorium,2000,121,0.993477089536309,0.422501214996386,0.0601530950971408,1.68910187421492,1.05592628328588,0.0591416226095283
HKUST,15,1,MLP,123,ID_UG Hall2 2F,2000,121,0.162209684573157,0.0717430398151393,0.0398862705669824,0.386338557673745,0.164282466019308,0.0126171800093828
HKUST,15,1,MLP,123,ID_UG Hall2 RF,2000,146,0.0891759805455712,0.0398701991479644,0.042790777613038,0.178033901190313,0.0952818751036779,0.0640824348960678
HKUST,15,1,MLP,123,ID_UG Hall3,2000,123,0.333113357263975,0.139637317619053,0.0603110588346862,0.640004036946996,0.370197469192281,0.100173866691252
HKUST,15,1,MLP,123,ID_UG Hall4,2000,103,0.323566116447201,0.141199189275798,0.0504912121028065,0.713679489258891,0.356855022523767,0.0932841181304891
HKUST,15,1,MLP,123,ID_UG Hall6,2000,101,0.349855050544274,0.142394370501353,0.0571471823822728,0.797536771252565,0.379267083474922,0.0775496588345319
HKUST,15,1,MLP,123,ID_UG Hall7,2000,122,0.305937867154536,0.127540687044202,0.0493296205772957,0.773495545695025,0.325702560842909,0.0606832615538025
