site_id,capacity_kw,n_positive_rows
ID_220,4.972,52596
ID_221,6.21,50678
ID_222,2.956063,52598
ID_223,4.7,52591
ID_224,3.35,52257
ID_225,3.506,52588
ID_226,3.388609,52591
ID_227,2.276352,52566
ID_228,4.959977,52602
ID_229,5.141961,50869
ID_23,3.079266,52538
ID_230,3.9,52589
ID_231,5.098,52601
ID_232,3.788,52530
ID_233,2.466047,52596
ID_234,3.296039,52597
ID_235,2.762656,52435
ID_236,3.188,52601
ID_237,4.276,52598
ID_238,2.838,52598
ID_239,2.438297,52586
ID_24,3.479992,52602
ID_240,2.618,52595
ID_241,2.532149,52586
ID_242,6.188094,52596
ID_243,6.354133,52588
ID_244,2.65,52599
ID_245,3.508,52571
ID_246,4.424101,52591
ID_247,3.014203,52581
ID_248,5.408,52412
ID_249,3.754148,52586
ID_25,6.226,52588
ID_250,3.766,52592
ID_251,5.912,52599
ID_252,2.324062,52598
ID_253,4.146062,52595
ID_254,6.554,52597
ID_255,6.178,52586
ID_256,6.766469,52592
ID_257,5.812023,52599
ID_258,3.028,52590
ID_259,2.001992,52602
ID_26,5.526,52602
ID_260,6.355977,47002
ID_261,3.368062,52595
ID_262,3.374,52600
ID_263,2.708,52602
ID_264,2.126016,52600
ID_265,3.064,52590
ID_266,4.0,46779
ID_267,5.314742,52527
ID_268,5.716,52600
ID_269,3.078,52601
ID_27,3.302141,52594
ID_270,2.904,52570
ID_271,3.942,52573
ID_272,2.522008,52600
ID_273,6.40407,52594
ID_274,3.744492,52585
ID_275,5.276,52600
ID_276,5.110148,52586
ID_277,4.616094,52598
ID_278,2.007984,52602
ID_279,4.738,52599
ID_28,4.463406,52578
ID_280,3.634094,52592
ID_281,3.232,52589
ID_282,3.212,52602
ID_283,2.972469,52589
ID_284,3.136,52601
ID_285,3.038,52600
ID_286,4.158,52589
ID_287,3.876375,52598
ID_288,3.726492,52594
ID_289,3.686,52579
ID_29,3.204187,52582
ID_290,3.502,52553
ID_291,1.702039,52597
ID_292,4.080688,52523
ID_293,8.204,52403
ID_294,4.212078,52593
ID_295,2.78,52592
ID_296,3.194,52594
ID_297,3.984547,52593
ID_298,1.668,52602
ID_299,6.554383,52563
ID_3,2.35,52567
ID_30,2.46,52547
ID_300,5.188164,52585
ID_31,4.762,52602
ID_32,3.024,52593
ID_33,6.458,52601
ID_34,4.212,52574
ID_35,5.204,52601
ID_36,2.188,52602
ID_37,4.598953,52596
ID_38,4.226,52547
ID_39,3.714,52546
ID_4,3.946328,52590
ID_40,2.772,52599
ID_41,2.801992,52602
ID_42,3.988,52427
ID_43,3.646,52593
ID_44,3.922,52598
ID_45,3.544031,52598
ID_46,3.574117,52589
ID_47,3.932062,52595
ID_48,4.288,52595
ID_49,6.374211,52599
ID_5,2.775265,50359
ID_50,2.576141,52599
ID_51,3.571992,52602
ID_52,4.356,52601
ID_53,3.502,52601
ID_54,4.470187,52582
ID_55,4.919984,52602
ID_56,5.949922,52602
ID_57,5.776,52575
ID_58,5.382,52602
ID_59,3.972078,52593
ID_6,3.684,52601
ID_60,5.302172,52584
ID_61,4.86,52594
ID_62,8.811976,52602
ID_63,2.612547,52593
ID_64,2.788133,52588
ID_65,4.446391,52562
ID_66,2.076,52602
ID_67,2.678203,52581
ID_68,2.650094,52592
ID_69,3.674742,52586
ID_7,2.644,52600
ID_70,6.538531,52559
ID_71,3.224,52599
ID_72,2.338234,52597
ID_73,2.480078,52593
ID_74,5.568344,52584
ID_75,5.740234,52489
ID_76,3.15,52589
ID_77,3.220187,52595
ID_78,5.4,52600
ID_79,4.312047,52600
ID_8,7.588,52592
ID_80,4.262,52602
ID_81,2.408,52593
ID_82,6.921992,52602
ID_83,3.278,52588
ID_84,4.634,52560
ID_85,8.348,52601
ID_86,5.8,52595
ID_87,2.021984,52602
ID_88,2.001969,52602
ID_89,4.53218,52583
ID_9,2.989984,49603
ID_90,1.694008,52600
ID_91,4.930687,52532
ID_92,3.132,52595
ID_93,4.576469,52593
ID_94,3.670305,52591
ID_95,4.176,52594
ID_96,6.806,52601
ID_97,2.962,52601
ID_98,2.768023,52599
ID_99,2.168703,52566
